p1Name,p1Tag,p1Lane,p1KDA,p1KP,p1GPM,p1Vision,p1WinRate,p2Name,p2Tag,p2Lane,p2KDA,p2KP,p2GPM,p2Vision,p2WinRate,totalWinRate
맥그리거VS할머니500명,할머니압승,2,5.61,50.85,360.02,1.04,54.55,언제나 그랬듯 서있을 거야,좋아해,4,3.40,45.07,357.76,0.84,52.07,70.00
내가 김동현이다,KR1,2,3.28,44.33,398.06,0.66,0.00,곡물빵,맛있어요,4,3.89,54.00,386.93,1.07,58.82,53.85
미리죄송요,3912,0,4.46,46.44,337.77,1.59,51.63,묵직한 한방,4427,1,3.97,52.69,396.79,1.14,58.29,78.95
이승준,1228,1,3.01,49.50,365.90,0.79,56.11,WXYXYW,KR1,0,9.89,68.33,295.22,2.33,50.18,75.00
WXYXYW,KR1,0,9.89,68.33,295.22,2.33,50.18,이승준,1228,1,3.01,49.50,365.90,0.79,56.11,77.78
WXYXYW,KR1,0,9.89,68.33,295.22,2.33,50.18,승 준,2556,1,3.78,53.00,403.52,0.79,53.81,66.67
좀 접어라,KR1,1,4.85,44.83,426.01,0.91,54.29,내잘못은아닌듯,아무튼아님,0,3.74,52.75,322.21,1.65,54.63,66.67
청심정,1111,0,3.58,57.20,311.87,1.75,58.33,여 불,KR1,1,3.47,44.75,403.29,0.44,50.38,66.67
렝가 원픽,KR1,3,5.04,45.67,388.57,0.76,44.74,갱플랭크,청소년,3,2.29,41.43,351.61,1.18,44.44,47.62
상식적으로,토도미,1,4.38,60.55,408.56,1.06,55.81,토도미,상식이,2,3.68,42.25,295.87,1.25,46.74,59.09
모두를줘팰시간,KR1,0,5.95,57.06,277.37,2.59,62.71,뒷 돌 갱,KR1,4,4.44,46.57,351.25,0.74,55.21,66.67
차하야,구르트,4,3.76,55.68,406.49,0.81,52.56,Cola는 Coca콜라,KR1,1,4.87,45.15,397.23,0.54,49.64,73.33
의문의혜웨이,cex,3,3.76,41.67,372.08,0.48,44.79,kitagawa,ε з,0,5.54,49.57,248.81,2.48,54.06,75.00
처음만들어본부캐,KR1,2,4.03,58.56,399.15,0.78,51.61,애니똥챔인건나도알지만어쩔수없어,KR2,2,3.90,47.00,370.27,1.02,61.59,66.67
ADC Taeven,KR11,1,5.19,57.62,469.18,0.76,65.15,DE4N,KR1,0,3.35,46.41,301.27,1.84,50.23,53.33
ADC Taeven,KR11,1,5.19,57.62,469.18,0.76,65.15,안오면나도안함,KR18,2,2.04,48.06,369.35,0.91,42.62,81.82
피스타치오버블차,KR1,3,2.70,46.67,422.13,0.93,53.65,PaIm,KR1,2,5.49,44.29,355.81,1.40,53.49,60.87
εS2з,486,0,10.28,65.00,275.03,1.80,67.92,8 8,8 8 8,1,2.59,43.12,334.51,0.84,54.02,65.22
우에하라아이,JA1,2,4.43,44.05,369.92,1.11,55.07,고창모,KR1,1,3.25,43.83,350.29,1.09,50.35,68.75
나 비,바 보,0,7.10,55.12,252.47,2.11,51.19,lulu,234,2,2.76,47.11,409.85,0.75,0.00,56.52
동규형2,KR1,1,5.50,59.67,422.64,0.87,51.09,김범륜,0000,1,4.20,58.12,399.89,0.80,52.09,63.16
여름아넌너무추웡,KR1,1,4.54,41.50,398.86,0.92,54.02,도리도리대마왕,8461,0,4.55,47.08,260.86,1.68,53.45,70.00
반죽맨,KR1,3,2.69,41.42,400.72,0.77,49.02,섹시조커,KR1,1,5.04,45.08,407.44,0.56,84.62,62.50
소담보담,KR1,0,6.29,58.12,271.72,2.49,51.43,새 벽,GOD,1,2.23,63.22,441.38,0.84,51.61,63.64
가지맛물감,KR1,3,4.57,41.58,380.94,0.86,48.41,aksfjhaskjfhaosa,KR1,4,4.71,51.00,388.14,0.83,55.32,76.92
Master prisoner,KR1,4,4.82,48.07,387.36,0.91,33.33,음바제,KR1,2,4.58,40.75,371.55,0.88,49.19,72.73
권태식돌아왔구나,KR2,1,5.49,50.07,394.96,1.01,60.67,왕자를지켜라,KR2,1,3.95,43.83,403.67,0.88,47.39,72.73
같이가 멈춰,멈춰 같이,0,4.77,58.62,294.53,2.33,53.91,멈춰 같이가,KR1,1,5.84,54.65,455.33,0.89,53.91,56.67
멈춰 같이가,KR1,1,5.84,54.65,455.33,0.89,53.91,같이가 멈춰,멈춰 같이,0,4.77,58.62,294.53,2.33,53.91,56.67
흑 당,혐오자,0,3.90,53.09,265.96,2.47,0.00,나한테왜그래,KR222,1,3.37,48.76,413.18,0.91,54.28,60.00
thgink9z,KR1,0,3.95,49.40,320.94,1.14,54.55,뇌가수박이됨,KR1,2,3.60,38.36,386.94,0.73,50.00,82.35
괴물쥐,1866,0,4.35,44.86,249.85,2.29,51.43,쓰레쉬,HY99,3,5.23,48.00,381.32,0.51,64.37,75.00
Shin,10 10,0,4.66,53.12,272.87,2.22,66.67,뽀송뽀송한모포 ,KR1,4,8.38,52.00,409.99,1.01,63.22,80.00
이길줄모르는사람,0913,0,4.54,61.00,273.86,2.42,53.33,할수있어요서폿님,KR1,1,4.03,52.00,390.85,0.69,54.76,60.00
애교꾼,KR2,-1,0,0,0,0,0,나랑랑이,KR3,0,5.45,60.31,300.40,2.54,61.90,90.00
이름없는호수,KR1,1,5.32,51.00,364.15,1.39,58.33,안죽는미드,KR3,0,4.54,47.50,289.79,2.26,75.00,70.00
탁구왕이강인,손흥민,1,4.01,42.67,447.36,0.68,43.75,즐라탄 이브라히모비치,GOAT,4,3.81,51.67,376.49,0.89,48.28,40.00
Hmmmm,404,4,7.02,55.20,450.08,0.84,44.12,늙은이,1121,4,2.92,42.22,386.94,0.70,50.57,65.22
feijidawang,pdx,1,5.66,57.12,462.20,0.55,60.00,복숭아,과일이,3,2.34,44.53,373.54,0.93,48.98,62.50
Warwick King,TPE,3,2.02,44.67,376.58,0.69,50.70,DouYu丶牛奶辅助,mkmk,2,3.82,51.44,371.13,0.99,48.57,54.55
지 니,정 탈,2,3.70,31.17,385.37,0.45,67.39,メンヘラ,kr3,1,3.47,45.00,364.77,1.05,66.67,66.67
Hearts2Hearts,214,0,7.80,51.25,265.17,2.39,60.56,さくや,りょう,4,7.52,55.88,418.99,1.14,67.09,66.67
مرحبا,kr11,2,5.30,50.00,447.18,0.88,54.43,29 라스트댄스,1997,0,4.50,66.33,322.08,1.98,52.66,58.33
Yuumi,0930,1,9.48,54.33,404.06,1.27,0.00,뚱 남,140kg,1,5.45,46.36,405.78,0.85,48.65,76.47
저희 곧 결혼해요,KR1,3,5.21,42.60,339.96,1.03,58.97,건들지마세요,KR5,3,2.08,41.24,368.64,0.75,52.41,77.78
심규제,바 텀,1,3.74,57.10,428.28,1.37,56.41,욕하기싫어요,KR33,1,4.45,45.82,387.41,0.43,51.17,46.15
사미라징크스제리,KR1,1,5.22,48.35,415.89,0.57,0.00,Denty,KR1,4,4.24,53.60,368.46,1.38,50.00,70.00
김대건1,KR1,2,3.51,35.62,318.36,1.08,53.68,애벌레통구이,KR1,4,4.23,48.96,424.38,0.83,35.29,84.62
말 랑,1837,0,4.63,49.79,385.52,1.13,54.55,HwanHeeKR,KR1,4,3.44,53.92,399.69,1.03,55.10,75.00
Error,Fatum,0,4.15,56.86,292.84,2.49,53.54,송제우,KR1,2,3.37,43.94,370.31,0.89,51.63,80.00
öッö,öッöヲヲ,4,6.36,45.60,376.66,1.07,80.00,야미 동희,KR1,2,4.14,52.06,389.45,1.09,62.96,72.73
T1 Clid,민정이,4,4.85,55.85,401.48,0.76,46.51,bring bring,KR2,2,3.73,45.45,403.21,0.62,51.79,50.00
아케보시,KR1,2,5.51,54.60,387.28,1.30,58.62,胜不骄 败不馁,zypp,1,3.73,46.50,354.12,1.29,55.91,52.94
머리박기,KR1,3,2.29,35.70,414.74,0.59,57.78,siin,kr99,4,4.96,55.00,463.17,0.99,68.97,63.64
쓰레기무단투기,0629,1,4.15,46.36,398.62,1.10,61.70,이상하게 생긴 기린,이생기,4,3.47,47.38,405.83,1.32,48.82,75.00
어떻게 이별까지 사랑하겠어,악동뮤지션,1,4.33,58.00,431.51,1.04,60.24,Hi Hi Z Z,KR1,1,4.84,43.80,437.48,0.87,49.13,61.54
꼬마차니,꼬마차니,4,7.06,52.92,361.89,1.11,62.94,짐승아메리카노,1리터,0,6.56,60.46,274.39,2.80,62.50,64.71
멘트줘봐,KR1,2,4.13,43.36,380.22,0.71,57.48,느낌좋고,KR1,2,4.83,50.75,398.82,0.71,57.32,72.73
그게 바로 나니까,KR1,3,2.66,36.92,357.60,0.92,53.92,롤박사 제도리,KR1,4,3.06,54.64,360.09,1.29,22.22,69.23
자몽아간식먹자,0607,1,4.61,42.73,386.51,0.96,57.78,Cover JG,6587,4,3.15,44.00,378.59,0.69,52.70,82.61
장전리,KR1,3,3.27,47.08,317.01,1.44,48.00,AD123,8098,4,3.39,53.14,387.08,1.13,51.43,50.00
똘 박,9703,1,3.61,48.75,435.88,0.67,59.65,연애하자승철아,KR1,0,5.11,60.00,291.93,2.72,56.56,66.67
Piungsin,KR1,2,6.20,52.56,384.02,0.98,46.55,살려쥬라기,0000,3,5.16,51.74,400.95,0.78,83.33,69.23
니달리거대한구멍,KR1,4,4.61,49.83,359.96,0.82,48.60,석승환,석승환,1,2.45,45.25,418.21,0.63,53.16,70.00
김갑환이,KR1,2,4.87,46.30,412.31,0.57,53.33,온천 가드맨,12321,3,2.74,44.00,376.88,0.70,53.42,71.43
예경누나이쁘다,1215,0,4.96,51.00,256.14,2.03,42.35,그릇 도 빛날 빈,KR0,0,4.61,57.43,290.59,1.64,44.35,66.67
나는야 이동춘,동춘리,3,4.08,45.50,399.59,0.72,63.55,오디세이 조이,KR1,2,3.11,42.94,352.50,1.27,47.79,57.14
Iziio,KR2,2,5.05,67.00,394.81,0.82,62.16,머리를 콩,KR1,4,4.74,51.12,389.43,0.74,47.83,62.50
월향량,연습계정,4,4.91,44.62,391.06,0.87,55.16,내이름이진우,KR1,1,5.73,55.20,420.72,0.82,68.85,83.33
시훈데용,KSH,4,4.69,53.27,379.72,0.96,58.54,53456436,KR1,1,6.67,47.86,416.36,0.41,51.90,62.07
