p1Name,p1Tag,p1Lane,p1KDA,p1KP,p1GPM,p1Vision,p1WinRate,p2Name,p2Tag,p2Lane,p2KDA,p2KP,p2GPM,p2Vision,p2WinRate,totalWinRate
대두레이븐,1234,1,3.15,54.83,448.48,0.55,47.06,jungIe zac,KR1,0,5.20,60.12,285.32,1.74,51.29,43.75
시럽계,시럽계,2,3.62,50.75,375.78,0.92,65.00,원딜애기,KR1,1,3.09,42.94,410.66,0.72,43.48,71.43
woof and meow,KR1,4,4.14,57.00,410.41,0.86,54.55,쿠 키,영도리,1,2.78,47.44,352.67,0.81,46.77,43.75
미스터마켓1 ,KR1,2,4.89,56.42,440.68,0.68,0.00,바꾸라고하지마,9204,2,6.19,49.76,400.68,0.98,60.00,69.57
구름 예쁘다,KR1,1,3.23,52.38,402.16,0.93,56.21,winter,kr145,0,5.09,57.50,257.38,2.41,51.61,61.90
balli03,KR1,0,4.10,57.33,289.91,2.40,0.00,NevergiveuP,KR7,1,3.62,45.50,414.23,0.66,55.91,61.54
GaoJinSay,KR1,4,4.74,53.72,415.84,0.94,51.33,문어아사랑해I,KR1,4,4.14,52.00,415.06,1.06,53.79,63.64
애루러,2024,4,6.92,56.75,409.58,1.27,49.22,앱씨봉,2024,3,3.66,38.14,392.70,0.66,50.18,75.00
애루러,2024,4,6.92,56.75,409.58,1.27,49.22,myisasbttg,MYIS,0,1.53,35.43,280.54,2.44,50.00,75.00
정희범,KR2,3,4.65,45.00,409.35,0.76,52.94,IlIlIlIlIlIlIlII,KR99,2,3.45,50.83,374.51,0.94,61.11,56.25
도토리대장,へヮへ,1,4.26,57.55,450.40,0.66,0.00,콩순이,へヮへ,0,6.19,57.75,267.55,1.89,52.63,60.00
고양이박이,KR1,1,2.07,45.85,398.99,1.10,57.58,asdfaadas,KR1,2,3.34,43.93,374.66,0.66,48.78,40.00
고추2개,KR1,1,3.96,48.00,410.64,0.91,60.81,왕누나,KR1,0,7.53,63.33,282.07,2.16,47.97,42.86
asd1123,KR1,4,5.36,61.30,399.33,1.27,52.99,zxzxzxzxzx,111,0,4.34,56.22,295.96,2.18,48.39,79.17
AlwaysPlanAhea,KR1,0,3.31,54.80,257.18,1.61,73.68,Pmang,KR1,1,4.42,46.00,407.49,0.77,49.85,50.00
엄무무,KR1,3,2.99,35.50,378.49,0.71,0.00,윽 성,KR1,1,3.35,46.71,392.08,0.52,50.00,68.42
엄무무,KR1,3,2.99,35.50,378.49,0.71,0.00,배 급,KR1,2,2.17,36.42,368.88,0.77,62.00,80.00
qwerrew,KR1,1,3.22,62.11,481.91,0.86,50.00,시진핑핑,KR2,0,3.86,51.56,261.65,2.50,42.42,57.14
대 파,paa,3,3.05,42.73,393.83,0.92,57.65,KHM Ghost,KR1,1,4.81,54.12,393.04,1.10,48.91,38.46
0ll0llllll0l,KR1,1,4.81,56.59,407.83,1.08,0.00,일산약쟁이,KR1,1,3.61,41.00,350.98,0.63,53.09,63.64
올뮤트하고빡겜,KR1,0,6.04,56.82,353.65,1.60,44.74,바텀안오면대가리박음,KR721,1,5.66,53.25,411.50,0.81,53.33,47.06
올뮤트하고빡겜,KR1,0,6.04,56.82,353.65,1.60,44.74,0nerr00,KR1,2,5.96,57.00,397.63,1.22,64.00,69.23
Res Novae,0430,1,3.57,52.62,378.39,1.44,76.92,づッづ,0430,4,4.24,50.67,412.45,0.69,50.00,72.73
드랍세트,KR1,0,3.57,39.18,293.82,1.15,60.22,S5 foundry ,KR1,2,3.89,45.00,358.43,0.88,52.69,100.00
시 바 콩,KR2,1,4.70,58.20,413.45,0.99,55.26,iiilililillll,123,0,3.32,45.67,270.20,2.17,51.17,50.00
김범수똘추새기,2000,3,4.67,37.70,400.54,0.53,55.32,녹슨단검,KR1,2,2.26,47.83,299.47,1.42,29.41,50.00
김범수똘추새기,2000,3,4.67,37.70,400.54,0.53,55.32,토크금지,KR1,3,3.43,43.00,436.05,0.80,0.00,58.33
모기먹는도마뱀,KR1,0,5.41,60.00,256.28,1.85,85.71,파리먹는도마뱀,KR1,1,3.46,47.92,428.45,0.69,67.74,50.00
Radiohead,Gods,0,4.15,47.56,349.68,1.16,54.26,2023년 겨울,KR1,1,3.62,48.00,387.48,0.65,45.63,37.04
파리먹는도마뱀,KR1,1,3.46,47.92,428.45,0.69,67.74,모기먹는도마뱀,KR1,0,5.41,60.00,256.28,1.85,85.71,50.00
성하니,1776,3,2.95,34.62,320.49,0.82,53.25,Ambitionem,KR1,1,4.69,46.50,405.92,0.92,0.00,44.44
성하니,1776,3,2.95,34.62,320.49,0.82,53.25,kkkkk,kr3,2,6.67,61.64,446.68,0.95,58.93,66.67
덤던크,KR1,4,5.01,57.75,447.74,1.03,62.50,맘에안들면던지기,KR2,0,4.00,62.14,295.47,1.88,57.69,64.29
또유니,세젤귀,0,3.29,52.71,325.91,1.77,62.86,무조건잘한다,KR1,3,2.28,36.75,332.84,0.69,0.00,64.29
20학번21군번22학번,KR1,3,3.95,48.50,435.20,0.57,53.62,zhu ding,CN1,4,3.75,47.33,389.70,0.80,57.69,71.43
Aug,16th,0,4.11,61.93,309.23,2.07,56.05,대상현,shy,1,3.37,36.33,393.67,0.88,50.71,53.33
つoωoつ,aaa,2,2.73,48.38,379.06,0.92,54.49,자꾸갓,KR3,3,2.42,33.00,313.40,0.72,56.85,54.55
김현진,0424,1,4.24,51.47,435.31,0.83,69.23,더 간절한 상수냥,KR1,4,3.74,57.00,410.09,0.94,52.09,64.71
黄梁梦,EKKO,1,1.96,42.73,354.74,0.97,55.91,否极泰来,Nova,1,3.27,41.00,420.75,0.73,51.57,23.08
탑은탑일뿐,KR1,3,2.68,37.93,381.71,0.56,56.15,새객끼,4811,1,2.90,45.37,400.81,0.80,50.93,50.00
고길동의길,KR1,3,3.59,42.00,450.83,0.61,0.00,성지나,차돌이,4,6.91,47.25,367.46,0.94,43.75,63.64
Wing,0309,1,4.33,46.55,422.37,0.78,55.00,지 니,7230,1,3.69,52.19,387.84,1.05,48.95,41.67
Daybreak,3527,4,2.63,44.62,361.43,0.73,53.66,채팅끄기,인게임집중,2,3.11,46.46,416.75,0.60,54.11,62.07
Rn1705,9305,4,6.66,58.25,385.65,0.94,68.42,예리한편이야,KR1,3,2.34,35.55,377.37,0.63,56.00,68.18
장래희망두이팅,0712,1,5.09,51.71,392.20,0.98,0.00,따 오,000,4,4.82,59.27,408.97,0.89,65.29,46.67
굴룽쇠,KR1,0,4.79,56.91,377.19,1.46,42.86,부영아대학가자,KR1,1,4.33,51.89,427.35,0.58,64.29,57.14
Shield,J g,4,4.46,56.00,363.38,0.97,57.69,동 대,KR1,2,4.87,49.43,338.13,0.98,47.62,60.00
위드현,4783,0,4.87,54.00,248.90,2.23,0.00,풍암동며루치,KR1,1,2.97,51.92,368.75,1.08,49.51,40.00
ggaevogue,KR1,0,3.77,52.91,281.21,2.91,68.42,ALCARD,4211,2,4.19,41.00,371.37,0.64,47.78,56.52
0in,KR1,0,3.27,53.55,287.12,2.23,53.49,아펠리오스,KR124,1,3.97,48.57,401.21,0.79,62.79,51.85
간절함의 부재,KR1,1,4.52,49.58,427.50,0.66,0.00,탁지지,KR1,3,4.39,44.08,422.59,0.83,55.63,61.54
묵찍딴딴임씨,nnn,3,4.88,39.12,413.96,0.58,56.25,披荆斩棘,JUJU,2,3.71,48.71,327.14,1.31,53.42,53.33
한창 키 클 나이,000,4,8.42,61.20,362.56,1.10,51.95,Bust It,KR1,2,6.06,49.60,344.80,0.97,52.81,84.21
에렌 머플러를 둘러줘서 고마워,KR0,2,4.12,41.20,327.03,1.18,57.73,모래마을닌자,0806,0,4.14,56.95,350.37,1.18,48.39,63.16
홍차맛 다람쥐,masha,2,5.02,53.58,358.07,1.36,58.41,아침포도햇살봉봉,KR1,4,3.34,46.33,449.75,0.75,56.72,60.00
무지 개 같은날,1818,3,1.91,33.33,370.31,0.85,57.60,쁘띠뽀짝 거노,KR1,2,5.44,56.25,369.40,1.16,58.06,52.94
TES mingyun,KR1,2,5.04,51.42,441.76,0.88,78.57,Thor,KR1,2,4.45,42.33,415.14,1.13,72.22,61.90
피지컬연습쓰레기,KR1,0,5.49,52.71,287.05,2.27,60.53,람머스가조아요,KR1,2,3.70,40.80,335.55,0.98,62.28,70.59
波西波伊亞,CN1,1,3.76,48.75,450.48,0.77,55.56,내란의힘윤석열,8639,4,4.15,52.23,421.78,0.79,60.00,90.91
알록달록 해커 아크샨,KR1,2,4.93,36.00,382.52,0.56,0.00,그대가그리운건지그때가그리운건지,KR1,0,4.63,49.90,302.96,2.09,0.00,80.00
은석초등학교,KR1,1,5.51,60.38,388.00,1.21,49.66,이가페,페쵸비쇼가,2,2.93,45.04,386.56,0.81,53.38,53.85
Kalah Heigaari,KR1,4,6.00,50.22,377.40,1.14,0.00,아 담,김성경,3,2.02,45.25,399.96,0.61,0.00,62.50
제리는 쓰러지지 않아,불의 의지,1,7.33,58.00,494.58,0.80,40.40,09SUP,cat,0,9.97,66.00,293.56,1.96,46.15,100.00
찹딸썩,KR1,2,3.68,37.88,343.99,0.61,64.58,치지말라고 제발,KR1,0,6.65,54.50,328.74,2.30,0.00,57.89
Colorlist,7715,2,3.03,40.33,381.39,1.10,0.00,웃으며 너를 만나,KR1,1,5.89,53.00,346.62,0.91,76.92,71.43
원 딜,0404,1,5.19,61.50,447.41,0.72,63.64,서 폿,0404,0,6.88,45.33,252.90,2.16,44.44,63.33
민 석,KR4,1,3.61,54.89,450.62,0.82,65.12,방찬혁,KR1,2,2.58,47.60,351.54,0.88,51.48,57.14
POEM,43th,2,2.43,48.60,418.30,0.72,51.79,빨리뽑는연막탄,LEAN,4,3.24,49.92,393.88,1.09,51.91,72.22
래서펜다,KR1,4,7.30,60.30,409.08,1.07,55.56,닭 목장,KR1,3,2.70,41.11,362.59,0.55,48.37,57.14
iowerjpk,KR1,1,4.52,46.83,407.91,0.54,68.18,예 뭐 하면하죠,호로록,0,4.51,55.21,280.17,2.66,47.50,60.87
사도 배드로,levi,2,5.85,46.92,408.19,0.68,50.00,연대최고미드,11111,2,4.56,37.20,387.12,0.82,49.79,91.67
진이커진비진카,KR1,4,3.65,48.38,373.95,0.80,45.00,Sload,kr2,3,1.75,37.53,411.24,0.34,63.41,46.15
바밤바,좋아하는람,0,4.56,62.82,384.81,1.49,0.00,이세진,8226,1,4.10,53.50,440.21,0.82,47.54,50.00
버태주,KR1,2,5.06,55.00,357.50,1.35,49.79,다 그만,KR1,4,3.84,51.70,355.71,1.30,47.40,70.00
cantile,KR1,3,4.07,37.67,362.03,0.60,68.75,llliillliiillil,KR1,3,2.31,50.00,366.35,1.23,64.86,76.92
맥심커피조절장인,KR1,0,5.00,60.67,291.00,2.43,0.00,병기번호 533384,KR1,-1,0,0,0,0,0,86.21
oUo,KR12,4,3.23,54.72,441.38,0.89,59.42,Trust Heart,서 준,3,3.14,51.17,440.91,0.82,55.38,62.50
TAEHYUN,KR2,2,4.89,50.38,404.82,0.66,64.62,민정용,9352,0,3.29,49.55,270.98,1.93,0.00,42.86
Diana Best,KR1,4,2.86,57.00,357.54,1.29,49.35,길 짜오,KR1,2,4.97,56.09,440.39,1.28,74.42,60.71
라캄파넬라,0000,4,5.23,57.00,338.98,1.16,0.00,팀운지리노,KR1,4,2.76,57.89,374.76,1.63,57.69,25.00
Not noob,KR1,1,4.23,48.50,396.88,1.25,64.71,역삼그래플러,1111,4,4.50,49.75,373.72,1.34,50.67,60.00
Not noob,KR1,1,4.23,48.50,396.88,1.25,64.71,모 켠,1111,4,5.37,49.55,437.96,0.97,50.00,61.54
아맞다우산,KR2,1,3.71,56.40,402.27,0.76,55.97,엽떡핑,엽떡핑,1,4.26,46.70,387.85,0.98,48.54,56.25
목소리의형태,마지막잎새,4,5.07,49.00,395.80,1.00,68.75,linfa,KR1,2,5.35,40.00,397.47,0.47,56.14,58.33
환경파괴의주범을알아버린 북극곰,1111,1,3.46,53.75,387.79,1.04,53.66,전두환,반란군,2,3.38,50.42,391.18,0.73,65.71,60.00
shuoiezaijiana,KR2,3,3.18,42.10,400.07,0.77,52.24,오우현성,KR1,3,1.83,44.96,344.47,1.07,48.85,52.17
jax king1,KR1,3,2.66,49.00,434.57,0.92,0.00,민영예쁘다,kr2,4,5.03,57.17,414.41,0.74,48.33,68.75
모르는데옹,KR1,2,2.89,48.75,423.64,0.79,51.74,황춘숙,검버섯,4,4.94,47.50,369.55,0.92,47.51,56.25
노루멍,KR1,2,4.94,49.43,394.64,0.77,36.84,nyokw,KR1,1,3.12,44.11,358.89,0.76,49.68,64.29
아바타 파괴자,파괴자자,4,5.44,59.25,437.03,0.77,48.48,Anonymous1,KR1,2,3.86,36.00,434.03,0.80,0.00,69.23
12년생 유망주,KR1,1,2.68,51.11,448.61,0.58,55.56,임또정,KR1,4,3.50,55.58,399.07,0.94,45.05,42.86
성 승 욱,유성구,3,3.93,47.83,348.42,1.32,66.67,영 진,КR1,1,3.87,52.62,388.80,0.78,50.93,46.15
팥붕어빵,싸만코,0,5.57,56.50,269.66,1.78,54.35,cb걸면d짐12,KR11,1,2.93,54.25,480.45,0.56,51.22,75.86
소밥아저씨,KR1,2,3.57,39.50,342.91,1.33,0.00,MasterpieceP,KR1,4,3.13,57.38,389.96,0.79,51.13,50.00
보라색맛솜밍,미니진,2,3.23,52.60,438.12,0.98,83.93,dpi1000 40,1000,1,4.21,48.86,413.58,0.95,0.00,45.45
루돌프의종말,KR1,0,4.91,45.25,324.59,1.15,53.98,트주아니,KR1,1,3.71,51.00,398.93,0.65,47.30,68.42
거미원숭이,KR1,0,5.28,50.50,321.52,1.93,0.00,전기톱 악마,KR1,2,3.46,42.60,375.02,0.77,70.97,68.75
설 윤,윤아사랑해,3,3.95,44.75,382.71,0.72,0.00,다 히,혜 지,1,2.73,43.80,362.61,0.63,53.85,63.64
Jiho,0404,1,4.54,55.64,442.08,0.98,0.00,태양보다뜨거운,KR1,2,4.97,36.00,352.83,0.86,54.10,53.57
팀운좀 줘,KR1,2,3.65,48.50,408.61,0.96,66.67,MetallicA,Kr11,2,2.50,46.29,371.92,1.09,54.85,63.64
변함없는,KR2,1,6.03,56.56,424.96,0.95,0.00,요 밍,KR0,2,6.64,53.47,390.97,1.23,90.91,76.67
전라탱크보이,KRI,3,6.24,46.75,338.92,1.23,0.00,zzc,KR1,1,3.74,52.08,420.91,0.69,50.56,50.00
이채영,1008,2,4.35,52.95,459.27,0.90,0.00,마 롱,마 롱,0,4.73,50.78,261.42,2.40,43.55,60.00
녹 차,7777,4,7.31,64.44,435.55,1.07,53.90,king paca,KR1,2,4.88,54.07,381.15,1.12,45.83,66.67
알파카,8366,1,3.67,46.33,419.84,0.49,63.64,알파카똥꼬,8366,0,5.70,58.75,318.14,2.17,46.38,66.67
82세김복동할배의개지리는플레이,3710,0,4.92,45.85,323.67,1.44,35.29,랖 시,KR1,2,6.12,53.23,457.67,0.76,0.00,38.46
또깡이 힘들다,KR1,2,4.29,54.25,406.65,1.05,56.78,포도쮸,KR1,0,8.83,62.00,268.05,2.14,66.67,66.67
이 순 신,거 북 선,2,4.37,51.50,396.28,0.50,47.62,jump king,ZAC,1,5.07,56.67,444.51,0.60,52.19,36.36
김철근,KR1,3,3.04,34.67,382.06,0.76,0.00,로밍서폿 노양심,KR1,4,5.42,50.12,381.45,1.01,66.67,60.00
리자몽,1642,1,4.71,47.30,392.61,0.70,62.16,XwwwwwwwwwwwwwwX,KR1,2,4.40,39.36,377.82,1.14,52.51,53.57
니이모를 찾아서,1014,3,3.05,51.21,426.37,0.90,52.17,정미장인,버스승객,0,4.19,52.70,343.70,1.79,52.06,61.54
니이모를 찾아서,1014,3,3.05,51.21,426.37,0.90,52.17,쑴바보,쑴바보,0,3.12,50.88,327.86,1.70,46.94,81.82
나여 차태웅,03102,1,3.02,44.21,365.69,0.78,0.00,비바람바다,KR1,1,3.10,50.00,332.79,1.35,54.84,66.67
허점을노린묘수,KR1,1,4.61,50.33,416.70,1.03,73.53,죽밀라,kr2,3,1.35,34.71,397.96,0.72,49.42,60.00
니블루빼먹기,KR1,4,6.01,51.25,375.22,0.66,0.00,베이가김,KR1,0,2.47,53.88,316.19,1.48,51.21,72.00
압박 요청,KR1,1,3.98,45.93,385.82,1.06,50.00,토끼우유,KR1,3,1.38,40.82,368.29,0.58,33.33,63.64
KHAN,sexy,3,3.10,44.83,344.66,0.83,65.31,범백호,호랑이,4,3.65,53.95,390.53,0.57,50.76,58.33
강조되고반복되는소리는강아지를,KR1,3,5.15,59.50,381.91,0.48,0.00,니가가면나도간다,KR1,4,4.14,44.17,350.98,0.97,50.90,66.67
승훈아 내려가자,KR1,1,6.11,57.18,461.41,0.88,63.33,에있힙팔,KR1,0,4.39,59.12,402.78,1.33,42.98,50.00
10asdfq,7140,1,2.73,50.75,390.30,0.63,0.00,개고기중독형욱이,KR1,4,3.94,49.25,358.49,1.31,53.85,42.86
KAIST23이동헌,KR1,4,2.95,52.25,401.65,0.85,55.17,신비준,KR1,3,2.06,36.48,381.31,0.57,52.27,60.00
용주냥이,KR1,0,3.58,56.91,335.44,1.59,46.15,Dosik,KR2,1,2.27,41.76,327.92,1.13,55.21,36.00
카운트다운,0415,4,5.93,50.56,356.79,1.24,52.38,루디아 악어크림,KR1,1,5.67,53.29,382.68,1.13,72.41,66.67
작은골렘,작은골렘,4,3.03,62.14,402.89,0.91,55.56,큰 골렘,큰 골렘,3,4.24,36.22,390.95,0.54,53.85,57.89
떨어지는데날개는필요없다,KR0,0,4.50,53.05,347.39,1.48,0.00,봉태군,매발톱단,0,3.72,46.60,339.21,1.47,56.45,57.89
떨어지는데날개는필요없다,KR0,0,4.50,53.05,347.39,1.48,0.00,철학과 윤리를 통달한 남자,0906,4,3.30,36.09,359.46,0.88,53.49,45.45
나에게 무슨 짓을 하시는,111,1,4.02,54.40,435.30,0.97,62.50,스타 개복치,123,1,6.70,52.19,398.76,1.27,62.22,72.73
양학 죄송합니다 빨리올라갈게요,양학러,2,3.93,43.70,396.88,0.91,70.00,코인박사 홍철이,DOGE,3,1.84,35.44,314.69,0.77,70.00,72.73
소보로보소,KR2,2,4.50,49.22,402.80,0.99,55.26,Do Mom Die,KR1,1,2.79,40.10,386.06,0.66,34.21,69.23
조아람,1110,0,6.88,54.33,354.36,1.45,56.16,기 토,KR2,4,3.90,49.25,377.64,0.69,53.78,70.59
조아람,1110,0,6.88,54.33,354.36,1.45,56.16,PAVA,ROTI,4,3.43,50.00,398.87,1.08,63.64,81.82
김채원,0524,1,3.31,51.09,371.23,1.36,26.67,몽 동,몽 동,2,3.46,45.05,372.74,0.94,46.51,63.64
우리 눈나,KR1,4,5.11,75.00,368.44,1.78,72.00,사랑해영,KR1,0,7.91,61.14,265.49,2.31,0.00,72.00
싱글벙글스크류바,싱글벙글,1,3.53,53.29,437.66,0.76,55.56,도선생,칼날부리,4,2.66,46.57,346.16,1.08,45.88,56.00
별이캔따개,KR1,3,3.36,44.15,422.97,0.79,77.78,lonely,kr22,4,2.15,53.14,365.00,1.05,54.82,77.78
괴물쥐 구조대 ,KR1,3,2.38,40.14,371.63,0.67,53.33,두카티부가,KR2,1,2.88,47.60,396.41,0.80,57.69,36.84
좋은소식있는데들을거냐는이재용,2234,4,7.03,54.33,448.16,0.90,57.78,FA 수킹,훈수킹,4,4.47,59.89,389.66,1.31,50.00,66.67
죠때뉴,KR1,1,3.97,53.88,402.80,1.13,45.16,초록맘모스,0725,3,3.42,50.29,365.66,0.95,33.33,52.17
Huyatv advance,KR1,3,3.83,52.06,491.31,0.61,0.00,squirt,0212,4,3.09,57.38,350.72,0.85,0.00,66.67
나는 없어,KR1,0,8.59,66.00,270.28,1.39,0.00,주희봄,0000,1,3.94,56.00,451.65,0.82,60.71,76.67
랭크 계엄령,윤두창1,0,5.27,55.60,407.55,1.32,42.31,Tame Impala,11112,2,3.03,46.72,398.41,0.71,66.67,72.73
Qwon,0118,2,4.55,38.75,354.28,0.81,52.00,뚜상필,Udyr,3,3.02,39.29,368.29,0.95,50.00,41.67
baoxiangui,KR1,4,3.31,54.88,406.37,1.27,67.48,is1,1234,2,3.10,47.00,369.68,1.14,53.80,50.00
내 위주로 안하면 갖다 박음,KR1,3,3.36,47.96,406.51,0.70,56.76,우리개는안물어요,1234,0,3.30,57.40,275.01,2.48,55.19,47.62
맛있어서쏘리쏘리신당동떡볶이스낵,00000,2,4.58,44.44,388.46,0.57,40.74,전격 Z작전,12323,3,3.99,53.14,381.84,0.92,50.97,53.33
Bon Jovi,John,0,3.86,59.46,333.26,2.15,46.15,막 만지셨잖아욧,KR1,1,3.59,51.50,422.67,0.63,45.45,63.16
그차리에 그시칸에,0404,2,5.23,46.82,402.84,0.90,0.00,lady7,1212,4,3.23,50.60,370.89,0.79,50.00,68.42
핵버튼,KR1,2,2.96,49.62,338.19,1.34,33.33,김수돌,KR1,3,2.01,38.43,377.76,0.54,54.69,63.64
나구영,KR1,0,4.88,53.91,268.64,2.31,51.72,혀니비니모,0517,1,2.39,48.40,361.99,0.84,53.70,50.00
IRELKLNG,25722,3,2.83,43.00,409.16,0.80,56.94,크앙 나는 상어다,KR1,4,4.16,57.47,410.66,1.01,64.71,70.00
똥망갱,KR1,0,4.69,58.18,377.82,1.57,66.67,Shin,Sin6,2,3.56,46.95,357.55,0.88,63.64,62.50
강홍구1,KR1,0,3.38,52.00,299.19,2.88,54.50,요조숙녀 이승준,KR1,4,1.71,35.48,355.09,0.73,60.53,73.33
똥챔교수님,KR1,0,3.07,56.70,292.23,2.29,51.06,나야나재방이라구,KR2,2,2.49,39.62,406.51,0.66,49.07,53.33
정수냥,S 2,4,2.99,45.00,399.95,0.76,63.46,中国造假者,造假者,1,3.39,42.56,426.18,0.67,46.38,50.00
구마유시,116,1,3.92,52.62,444.18,0.52,77.78,한밭대 신입생,KR1,4,4.29,53.93,416.93,1.11,0.00,66.67
호평인,KR1,4,3.90,61.25,351.72,0.79,71.43,uams,KR1,2,3.30,44.06,368.49,0.96,46.43,27.27
소없방,GAS,2,4.22,47.72,381.64,0.68,83.33,파괴킹,KR1,4,2.09,49.32,344.76,1.36,49.46,61.54
소없방,GAS,2,4.22,47.72,381.64,0.68,83.33,파괴킹,KR2,4,3.63,51.92,398.01,0.87,72.22,50.00
만 월,이지금,1,4.92,51.39,455.94,0.64,55.17,つoωovつ,KR 1,2,2.75,40.11,384.96,0.57,51.07,57.14
임시소환사명,1116,2,4.59,52.63,425.39,0.72,66.67,동녘동나타날현,KR1,4,4.61,55.30,372.05,1.02,40.62,56.25
나는 비겁해,KR1,3,3.07,39.50,420.56,0.67,71.43,협 업,KR1,4,2.89,44.73,354.53,0.87,61.67,72.73
나는 비겁해,KR1,3,3.07,39.50,420.56,0.67,71.43,미끼리뿌우,1234,0,3.04,46.00,249.19,1.92,48.78,80.00
현소하,KR1,0,9.31,67.33,284.84,2.24,65.71,그 시절 LemonTree,0418,1,4.34,56.00,454.62,0.58,50.46,64.29
꽃 뱀,돈 줘,4,5.67,61.41,404.83,1.13,42.22,金荣仁,中文学院,-1,0,0,0,0,0,50.00
일광욕,2005,1,4.01,49.23,403.10,0.67,49.90,윤 호,1127,3,2.26,34.93,359.95,0.52,50.00,53.33
Haelly,KR1,2,3.58,43.56,386.69,0.71,57.14,李相燁,李相燁,3,3.14,48.07,387.91,0.63,56.00,44.00
베켄v,KR1,0,3.47,59.27,352.25,1.94,46.67,다람쥐 도토리 뺏기,2627,0,4.19,49.80,236.68,1.94,31.25,64.71
Evior,KR1,3,3.15,46.94,413.20,0.62,42.86,구다리,0929,1,3.77,44.71,381.06,0.67,52.48,64.71
Evior,KR1,3,3.15,46.94,413.20,0.62,42.86,이니시는확실하게,KR1,0,4.09,58.90,269.63,2.19,60.00,76.92
skslekfo,KR1,0,2.38,49.00,314.46,2.23,65.22,김건뻥,KR1,1,2.33,46.40,355.25,0.49,62.00,68.00
08년생 Viper,KR1,1,3.74,56.50,468.24,0.87,0.00,EGONZO,KR1,0,5.73,54.86,269.58,2.33,57.14,73.33
10l0l011011l0ll1,0101,2,5.21,49.53,435.59,1.07,60.00,날쌘이 김쌘돌,FA1,1,4.65,44.38,372.83,0.86,55.97,68.18
Wave to Earth,웨이비,4,4.05,54.11,411.33,1.38,64.15,쿠릉쿠릉붕어빵,KR1,3,2.17,38.88,368.48,0.78,54.08,35.71
왜들그리다운돼있어,KR3,4,4.23,52.93,380.57,1.16,51.33,아무노래나일단틀어,KR3,2,3.45,52.92,387.78,0.86,46.51,41.18
hungrynono,KR1,0,3.04,48.60,288.27,2.37,0.00,haxiya,KR1,1,3.24,46.24,409.78,0.70,50.28,70.00
월요일,일주일,4,5.64,61.73,431.25,0.99,77.78,IlIllIlIIllII,KR1,1,4.50,54.85,382.04,1.10,0.00,61.11
고도의 집중력,KR1,2,4.81,50.71,395.74,0.44,62.32,공석우,KR1,3,3.06,37.00,331.12,0.69,67.44,53.33
립스틱사죠,KOR1,3,4.54,52.21,366.82,0.92,0.00,IXIIIIIIIIIIIIII,KR1,4,4.78,55.30,377.85,1.08,53.57,45.45
롤토체스,실력과 운,1,3.34,49.57,416.20,0.72,0.00,완전 진심,KR1,2,2.44,50.90,358.89,1.11,52.43,46.67
디 아,FOCS,1,4.20,54.44,443.17,0.99,54.00,Pati,KR1,0,2.74,48.00,284.73,2.77,59.32,78.95
빡나라,KR1,0,7.63,50.62,276.61,1.86,55.03,츄 엘,KR1,1,5.40,49.25,435.98,0.63,66.15,80.00
강동캣맘카페지명수배자,KR2,1,3.93,48.91,377.92,0.84,80.00,YASKING,KR3,1,3.51,51.75,397.25,0.82,49.35,40.00
무적튼튼백골용사,KR1,4,4.97,52.60,334.58,1.29,60.82,사주봐준다면서여자번호따는공관식,dm주세요,2,2.76,46.50,406.50,0.97,54.29,70.00
나는 만두,따끈따끈,0,5.83,61.11,287.84,2.55,50.00,이승현,KR1,0,3.38,44.50,312.12,1.34,51.06,63.64
바텀개,개서연,0,7.47,52.83,300.15,1.22,64.71,말랑카우 꼬집기 5단,비틀고싶네,1,4.32,59.00,482.75,0.52,74.36,73.08
697,1999,1,3.55,56.06,428.99,0.77,64.10,쪼렙인디말로하자,KR1,2,4.17,46.91,388.46,0.85,59.55,50.00
gnflzkzp,KR1,1,3.95,46.25,366.87,0.58,56.20,뽀현이,2002,0,3.78,60.92,341.59,1.34,50.86,64.29
화내면 치매,KR1,1,4.76,55.00,386.53,1.00,45.45,우              흥,이재우일베,4,7.12,49.65,401.40,1.00,47.15,57.69
강아지 뼈다귀뺏기 장인,강아지내꺼,4,4.64,53.26,386.79,1.20,52.17,카리나,사우르스,2,5.08,44.54,400.20,0.78,45.24,72.00
就月將,111,4,2.65,52.41,380.10,1.35,66.67,김민지,222,3,2.14,25.88,346.08,0.51,28.00,30.77
블라디라네,31KR1,2,2.50,36.00,394.35,0.72,53.53,짬뽕뮹,0917,0,2.95,48.75,274.39,2.36,45.28,53.85
꼬집어죽여버리기,99999,4,4.57,54.82,433.32,0.75,61.11,화장실 청소당번,쓱싹쓱싹,0,5.02,59.43,275.11,2.85,58.18,40.00
도구가숟가락으로,KR2,0,4.04,53.69,303.73,1.82,49.66,Lv 1 한구리,KR1,3,2.99,34.17,387.35,0.53,49.03,54.17
더미친놈,019,2,4.75,48.53,407.25,0.75,37.50,변이하면그만이야,KR1,0,6.62,65.33,282.33,2.74,0.00,54.55
세팍님,요아정,0,4.91,52.47,333.22,1.38,53.46,M24,KRl,3,3.87,51.90,446.87,0.69,45.16,83.33
쓰레쉬꾼,KR1,4,4.97,61.08,437.97,0.88,0.00,GetSeaBallSheKey,KR1,2,3.91,51.24,381.37,1.07,50.87,53.33
