,p1GameName,p1Tagline,p2GameName,p2Tagline,winrate
100,멘트줘봐,KR1,느낌좋고,KR1,72.72727272727273
101,그게 바로 나니까,KR1,롤박사 제도리,KR1,69.23076923076923
102,자몽아간식먹자,0607,Cover JG,6587,82.6086956521739
103,장전리,KR1,AD123,8098,50.0
104,똘 박,9703,연애하자승철아,KR1,66.66666666666666
105,Piungsin,KR1,살려쥬라기,0000,69.23076923076923
106,니달리거대한구멍,KR1,석승환,석승환,70.0
107,김갑환이,KR1,온천 가드맨,12321,71.42857142857143
108,예경누나이쁘다,1215,그릇 도 빛날 빈,KR0,66.66666666666666
109,나는야 이동춘,동춘리,오디세이 조이,KR1,57.14285714285714
110,Iziio,KR2,머리를 콩,KR1,62.5
111,월향량,연습계정,내이름이진우,KR1,83.33333333333334
112,시훈데용,KSH,53456436,KR1,62.06896551724138
113,xoot,KR1,만수무강,0101,65.0
114,1115555414,KR0,Bisu,1120,66.66666666666666
115,오은깃,0708,Coco,SCV,63.63636363636363
116,악어의 노란 우산,장맛비,KOA SOBORU,궁딩이딱대,57.14285714285714
117,아이브 리즈,동민전,rheldqhwl,kr123,66.66666666666666
118,광 어,참이슬,미드게임점,1234,80.0
119,재 구,KING,탑미드하는사람,KR2,65.21739130434783
120,준호는 못 말려요,KR1,MAEUM은 챌린저,KR1,66.66666666666666
121,볼보아이언,KR1,F니깐청춘이다,KR1,60.0
122,갱이누나이쁘다,천 사,아장아장 유미,1028,57.14285714285714
123,봉풀주 블리츠크랭크,홍보대사,신거미,KR3,61.53846153846154
124,113 2,1966,IlIlIIlIllIlIIll,1111,65.21739130434783
125,반고등,KR1,아가1리묵념,KR2,90.0
126,정모레,KR2,엉덩국 갱승제로,KR1,33.33333333333333
127,새벽에롤해요,퇴근후빡겜,뼝 씬,KR1,45.45454545454545
128,조용히좀해라,1111,イスリ,9999,60.0
129,육중한몸매,2837,구창도,1133,60.0
130,과로사 엄마,KR1,맹지훈,치매걸린노,78.57142857142857
131,지성이는 힘들어,KR1,적 적,1992,66.66666666666666
132,북 신,KR1,denie,KR1,66.66666666666666
133,Kaye,KR1,1종보통 신지드,Dock,76.92307692307693
134,이잉사랑해요,테스트전용,신 첸,KR1,81.81818181818183
135,헤 매,비디디팬,로아하라곰,남극곰,59.09090909090909
136,아오빠빨리싸줘,KR1,팀 운,goat,76.47058823529412
137,자J크G,KR1,제갈훈,KR1,40.0
138,I Dice I,KR1,천원짜리정글,KR1,57.692307692307686
139,High Water,개고수,군계일학,정 점,66.66666666666666
140,부아아아아아아악,KR1,鬪 神,KR3,45.45454545454545
141,리수연,리꿀벌,연시내,sine,45.45454545454545
142,동치미국물시원해,KR1,여봐라술과계집을,KR1,64.28571428571429
143,배중석,0602,유워니,KR1,68.42105263157895
144,소금새우,냥이가좋아,기사상시모집,KR1,91.66666666666666
145,61420265del,KR1,OOOO0OOO0O0,KR1,78.57142857142857
146,에이셔화성간다,2222,구마유시,6342,70.58823529411765
147,씨유박스화이팅,KR1,엔믹스 릴리,kr02,61.53846153846154
148,족삼리,KR1,제라스 장인 성,KR1,60.0
149,미 니 언,미 니 언,33이3,KR1,45.45454545454545
150,대한민국 천안시,KR1,Hi I am GA,teach,45.45454545454545
151,뽀삐사루 개추,KR2,김환성뱃살,113,50.0
152,비비빅,비비빅2,참는다는 마인드,KR1,71.42857142857143
153,WILD SHACO,KR1,망 구,입니다,40.0
154,티피언,KR1,AkikA,KR1,60.0
155,parliament1,KR1,쪼렙이다말로하자,8699,68.18181818181817
156,PaIm,KR1,일단짖고보는개,KR1,81.81818181818183
157,SoulCrow,KR1,Erysichthon,KR1,46.15384615384615
158,a멋쟁이a,KR1,sehoho,KR1,40.0
159,꽉지은,KR1,OAO,AAA1,53.333333333333336
160,저는요져도알빠노,7777,마라샹구리,하지마라,50.0
161,長壽天牛很帥,sichu,카즈하,주하하,23.52941176470588
162,도레미레오나,KR1,솔 민,KR1,26.31578947368421
163,미드 부캐,KR123,티모인뒈,KR1,45.45454545454545
164,이푸카,KR1,계속 한밤중이면 좋을 텐데,ZUUTO,57.14285714285714
165,인 연,0102,새벽산책,KR3,75.0
166,ssuya,KR1,포 로,0905,69.23076923076923
167,FEARNOT,KR3,이유석04,0703,46.15384615384615
168,3캠미드갱,123,subarasiman,KR1,73.07692307692307
169,감자탕과소주,KR1,어지러울 빈,KR1,38.46153846153847
170,감자탕과소주,KR1,J H,0315,54.54545454545454
171,식 인,KR1,병역기피,KR1,66.66666666666666
172,롤닉네임변경어떻게해요알려주세요,어떻게바꿔,요 정,KR1,26.666666666666668
173,과 니,gwan,트린버프좀,KR1,63.63636363636363
174,시야따개,KR1,모카초코칩프라페,KR1,50.0
175,후카다 띵근이,KR1,따거가든,KR1,50.0
176,평타빼고다피함,kr2,평타빼고다피함,KR1,56.666666666666664
177,우리바텀을응원해,KR1,마틸다님,KR1,68.18181818181817
178,똥맛카레맛똥맛,KR1,zac,jida,44.44444444444444
179,poongheol,KR1,우 쓰,KR01,50.0
180,부 표,KR1,누구양 나얌,KR1,72.22222222222221
181,도매니져,KR1,Karina,KR37,57.14285714285714
182,나는자연이야,KR1,투자로100억,KR1,40.0
183,안양의 멸치담당,KR1,몰라알수가없어,엄정화,66.66666666666666
184,play9123,1214,블라디미륵,vla,51.85185185185185
185,KSANTE KING,KR1,Arikured,666,75.0
186,jotaemin0722,eorjs,김미녕 노예,KR1,42.10526315789473
187,윤석열,5828,곰이곰곰하네,KR1,63.63636363636363
188,Poltan,KR1,상냥한 찬우씨,KR1,76.92307692307693
189,03팍순이,RK1,기훈기훈,12345,63.33333333333333
190,hhhkii,KR1,모은콩,KR1,50.0
191,Paella,피정현,은스케,KR2,52.94117647058824
192,Paella,피정현,king is back,wow,81.81818181818183
193,공 주,캐 리,그게 너야,1029,44.44444444444444
194,현재야욕하지말자,KR1,손정현,KR1,75.0
195,버니합,1234,STANDARD,0824,56.00000000000001
196,뱃살 충만 돼지,오잉크,냥바닥할짝,000,62.5
197,HLE Quad,KR1,GANGKINGKING,KR1,90.9090909090909
198,공익 전까지 챌감,KR1,하염없이팀운제로,KR1,42.857142857142854
199,슬치생,KR1,Carry or piss,KR1,69.23076923076923
200,퀘오타니,TANI,방학식,zzang,58.333333333333336
201,Aimyon,아이묭,혁이는못말려,0406,60.0
202,신난 야옹이 뀨꿍,KR1,QvtT,KR1,60.0
203,사 일 러 스,Pyke,계셰육,0315,65.0
204,P A,PAPA,주태현,4325,57.14285714285714
205,근 본 도 구,KR1,잠 잘 까,KR1,72.72727272727273
206,땡기는중,KR1,woxiangzhandou,2002,69.56521739130434
207,And pigs Can fly,KR1,Antimage,KR3,60.0
208,PTA,haeng,할꺼하고롤해,KCS,76.47058823529412
209,삐딱한 연우,KR1,Valstrax,VTEC,74.07407407407408
210,top l top,KR1,칭찬 격려 배려,KR1,69.23076923076923
211,top l top,KR1,영콩이,KR2,53.84615384615385
212,갓 독,0919,Nuguri,LMJ,60.0
213,즉   흥   곡,KR1,톤 이,kk1,83.33333333333334
214,Viper,0212,아이폰사용합니다,KR1,57.14285714285714
215,가나다 초콜렛,KR1,하 헬,hahel,59.25925925925925
216,미안 내 잘못,2187,好きだから,KR17,66.66666666666666
217,기분이조아오,KR1,반해써,0000,63.63636363636363
218,기분이조아오,KR1,Paul Blanco,KR00,60.0
219,스초생,444,포차코,지비츠,60.0
220,Cthe,KR1,사나이 이바다,KR1,63.33333333333333
221,최지웅,KR3,밴 베크만,나니모스루,34.78260869565217
222,허총무,KR1,애옹김,KR1,63.63636363636363
223,독도한라봉,KR1,얼음단비,KR1,70.58823529411765
224,사나이의묵직한주먹,Pray,TFT pro,4080,50.0
225,앞만보는 사나이,KR4,권 천,SKY,66.66666666666666
226,민초버터칩,KR1,금연2달남음,KR2,62.5
227,감 자,424,vnfmsk10,Zzzzz,80.0
228,감 자,424,슈퍼크랙이상호,KR1,30.0
229,잘하고싶다,7777,땅 두 닛,KR1,63.63636363636363
230,잘하고싶다,7777,이기고싶다,0000,50.0
231,비키니시티야생해파리보호협회,KR0,이겨봐,KR234,65.21739130434783
232,ヲヲヲヲヲヲヲヲヲヲ,0613,벼랑위의 분뇨,오줌발싸,70.0
233,롤은인생의활력소,KR1,노랑 피카츄,KR1,68.75
234,희망을주는구세주,KR1,베벱부,KR1,68.18181818181817
235,야 이기영,KR1,각시탈원딜러,KR1,69.56521739130434
236,16년생탑프로지망,KR1,히 또,Psken,43.75
237,이게임을열심히왜함,KR2,북풍이만든바이킹,KR1,50.0
238,두카티부가,KR2,괴물쥐 구조대 ,KR1,38.46153846153847
239,두카티부가,KR2,ホワイトノイズ,0111,50.0
240,스타킹팬티,0217,쉼쉼미역,KR1,41.66666666666667
241,조선왕조실룩샐룩,0608,Eraaaaa,KR1,38.88888888888889
242,simply lovely,top,내게의문을가지지말것,KR10,40.909090909090914
243,딱따구리,부리박치기,김 성 호,6974,58.620689655172406
244,롸킥스,KR1,빵붕이,KR1,62.5
245,윤유현조련사배상준,KR11,rkasdcoivkdlal,KR1,53.57142857142857
246,쩡호햄,KR1,단단운직,KR1,42.10526315789473
247,일리쉬,124,한키어x69,KR1,60.0
248,나유연,KR0,윤마치,KR2,69.23076923076923
249,일반인 미드,KR1,모자란련롬들,1234,65.51724137931035
250,lllIlllIIII1,KR1,게이트,KR1,52.63157894736842
251,후시구로 토우,0524,niwakaharu,1999,33.33333333333333
252,아요이키우기,KR3,시 로,666,55.55555555555556
253,코코아는 내꺼임,KR1,제드 일짱,KR1,70.0
254,타우타이 심바사,모투페투,쥐괴물,물괴쥐,47.05882352941176
255,첨지마요,KR1,김랜지,KR1,46.15384615384615
256,Marauder Olaf,KR1,탕수육찍먹,Yong,61.111111111111114
257,한뚝배기마스터,KR1,24년도전역입니다,KR1,64.70588235294117
258,저시나,KR1,뉴진스삼촌팬,KR312,51.85185185185185
259,개돼지,dgpg,lHluman,KR1,66.66666666666666
260,이석현 도구,KR1,boiled dumplings,KR1,71.42857142857143
261,마유치,Liyuu,식케이,권민식,42.857142857142854
262,95392551del,KR1,자기야라면좀,KR1,60.0
263,아이응맨,KR1,나도 잘하고 싶어,1111,41.66666666666667
264,아이응맨,KR1,23 July,KR1,60.0
265,즐겜용,탑바루스,갑각류fan,NOT,56.00000000000001
266,아침이싫어,KR1,격분유발협곡,KR1,60.0
267,花様年華,화양연화,별수호자까루,106,53.57142857142857
268,we lover,S 2,we loves,kr2,65.21739130434783
269,hejunfans,KR1,3an,KR1,46.15384615384615
270,유미장인 윰윰이,KR3,망고먹다왜망고징,KR1,56.00000000000001
271,조하트양말,KR1,미드품앗이,KR1,50.0
272,자치로운삶,KR1,너구리섭취중,KR1,48.148148148148145
273,또또또 까분당,확그냥,파디샤,1221,58.82352941176471
274,티 격,KR1,녹 번,KR1,66.66666666666666
275,곽팔돈,KR1,노갱시블루먹음,KR1,56.25
276,화 못참는 사람,KR1,정평게이밍,kr2,66.66666666666666
277,째미닝,KR1,씨몽키 초장 국밥,KR1,76.47058823529412
278,범인탐지견,KR1,벌써이십대,KR1,38.46153846153847
279,안녕바보들,KR1,꽃피느 봄날속의,1213,57.14285714285714
280,Wade Williams,KR1,화창한토요일,KR1,68.75
281,Übermensch,vida,勝ちたい,PLZ,52.17391304347826
282,exys,KR1,분노절망배신증오,KR1,71.42857142857143
283,Bobmukjja,KR1,클린한명예소환사,kr2,60.0
284,올 마이트,나히아KR,히키코모리김지환,KR2,57.14285714285714
285,따라하지말라고,εïз,Tei,Pill,81.81818181818183
286,봉 명 초,KR1,네 봄,KR1,56.666666666666664
287,되 냐,KR1,Advocate,KR1,30.0
288,어디든지갈게용,KR1,와드자판기,KR1,61.53846153846154
289,2창우,KR1,기우스엉,KR2,75.0
290,솔랭의제왕 석현,7790,jishiyu,hyu,66.66666666666666
291,강새에로이,KR1,러플광,KR1,60.0
292,나는 이 게임을 해봤어요,한 번 더,채팅안봄,K23,52.38095238095239
293,1apodo,KR1,신덕리,KR1,60.0
294,꽁 설,KR1,초록색,연 두,70.0
295,반짝반짝 최금쪽,KR1,류선생,KR1,72.0
296,낌찌원,KR1,너는쓰레기에요,0622,60.86956521739131
297,클라나스,KR1,26세황금동김민회,0000,64.28571428571429
298,태섭 제자1호,KR1,칼집꼬리 박쥐,KR1,66.66666666666666
299,너원딜재능없다고,정글가,탑가만히있자,KR1,86.66666666666667
300,5년늙은 구마유시,KR1,서울 명소 해운대,KR1,66.66666666666666
301,할수있다 나라면,1202,김밥처럼달콤해,두산베어스,35.0
302,고광윤,KR2,비싼참치,KR1,58.333333333333336
303,남자주인공,6207,Pachycephalosau,박치기공룡,70.0
304,내가 제일 잘낫찌,독재자,JUNHYEON,AHN,69.23076923076923
305,음악과,KR1,젊고병든,딩딩딩딩딩,84.21052631578947
306,웃긴웃긴,KR2,뚜크리따크리,KR1,50.0
307,캐치김,KR1,이기꼬야,아기맹수,58.333333333333336
308,캐치김,KR1,뚝배기 찍어버려,KR1,54.54545454545454
309,애니비왈,KR1,XiJinPingSexyBoy,KR1,69.23076923076923
310,똘망코,KR1,두부한모세,KR1,30.76923076923077
311,똘망코,KR1,민주 광배 쌈무,KR1,80.0
312,조코파이,KR1,마법공학문재인3,KR1,57.89473684210527
313,조코파이,KR1,Ocurt,KR1,63.63636363636363
314,윤현호,KR1,지나가던돌맹이,KR1,32.142857142857146
315,혹시삼국지좋아하시나요,三國志,똘망코,KR1,80.0
316,혹시삼국지좋아하시나요,三國志,포악한 도토리햄,KR1,70.0
317,Migung,KR1,다 운,0413,76.47058823529412
318,동탄센트럴정형외과,KR92,윤하찡사랑해윤,KR1,45.45454545454545
319,싱싱한배추,KR1,CELINE,55555,38.88888888888889
320,나를 꼭 지켜줘,DM해,길가다비비탄맞음,KR1,60.0
321,NIKE,NICE,공 주,LOVE,83.33333333333334
322,한밤에 한침대,KR1,김진섹,KR2,54.54545454545454
323,한밤에 한침대,KR1,원나블 디펜스,KR1,81.81818181818183
324,빈순이,KR0,Bepo,북극곰밍크,40.0
